STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150215,0,89,-55
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150216,312,50,6
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150217,5,33,-21
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150218,0,39,-55
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150219,0,-21,-93
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150220,0,17,-88
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150221,28,133,11
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150222,102,133,67
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150223,81,94,22
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150224,28,28,0
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150225,175,33,0
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150226,0,61,6
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150227,0,89,-16
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150228,0,133,-5
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150301,33,78,22
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150302,13,172,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150303,76,122,100
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150304,3,256,100
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150305,41,194,-16
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150306,0,100,-27
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150307,0,172,-10
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150308,0,217,28
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150309,0,189,122
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150310,0,261,139
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150311,8,222,144
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150312,15,200,144
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150313,38,144,78
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150314,15,211,83
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150315,0,250,133
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150316,0,283,89
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150317,0,267,150
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150318,0,228,133
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150319,114,183,89
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150320,3,206,89
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150321,3,222,122
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150322,254,144,122
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,307.8,33.6301,-84.4418,20150323,0,200,117
