STATION	STATION_NAME	ELEVATION	LATITUDE	LONGITUDE	DATE	PRCP	TMAX	TMIN
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150217	5	-49	-121
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150218	3	-16	-82
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150219	15	-10	-121
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150220	0	-66	-149
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150221	43	11	-155
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150222	28	39	-21
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150223	0	6	-155
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150224	0	-71	-166
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150225	18	17	-99
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150226	5	-55	-82
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150227	0	-27	-93
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150228	0	-5	-110
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150301	43	-10	-110
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150302	3	28	-32
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150303	66	6	-66
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150304	5	61	6
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150305	0	39	-77
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150306	0	-43	-127
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150307	0	33	-82
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150308	0	56	-43
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150309	0	89	-32
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150310	15	89	-5
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150311	3	139	28
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150312	0	61	-38
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150313	0	44	-43
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150314	203	39	-5
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150315	69	50	-27
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150316	0	72	-32
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150317	36	106	-21
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150318	0	-10	-55
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150319	0	11	-71
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150320	13	0	-49
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150321	23	50	-21
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150322	0	39	-60
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150323	0	6	-77
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150324	0	17	-66
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150325	10	94	-21
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150326	203	133	33
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150327	53	67	28
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150328	30	44	-10
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150329	0	56	-32
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150330	0	72	-10
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150331	0	100	28
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150401	0	83	-10
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150402	0	161	-10
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150403	8	150	72
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150404	99	111	22
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150405	0	94	0
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150406	0	56	22
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150407	8	56	22
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150408	66	56	11
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150409	23	28	6
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150410	23	128	22
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150411	0	139	56
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150412	0	200	39
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150413	0	206	50
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150414	3	183	111
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150415	0	194	100
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150416	0	156	50
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150417	15	183	83
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150418	0	156	61
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150419	0	100	50
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150420	155	106	50
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150421	137	183	78
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150422	0	194	61
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150423	0	106	33
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150424	0	100	28
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150425	0	133	22
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150426	0	133	61
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150427	25	139	72
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150428	18	178	56
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150429	0	122	89
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150430	0	128	67
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150501	0	94	39
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150502	0	100	39
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150503	0	194	72
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150504	0	289	94
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150505	5	211	122
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150506	0	228	111
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150507	0	261	117
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150508	0	217	78
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150509	0	217	78
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150510	0	317	150
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150511	0	267	100
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150512	5	306	89
GHCND:USW00014739	BOSTON LOGAN INTERNATIONAL AIRPORT MA US	3.7	42.3606	-71.0106	20150513	0	206	117
